,title,name,rating,rental_duration,rental_rate,length,replacement_cost,special_features,rental_date
6529,Steel Santa,Classics,NC-17,4,4.99,143,15.99,"['Commentaries', 'Deleted Scenes']",2005-07-12 04:39:38
6530,Leathernecks Dwarfs,Travel,PG-13,6,2.99,153,21.99,"['Trailers', 'Commentaries', 'Behind the Scenes']",2005-07-12 04:39:43
6531,Hills Neighbors,Action,G,5,0.99,93,29.99,"['Trailers', 'Commentaries', 'Deleted Scenes', 'Behind the Scenes']",2005-07-12 04:43:43
6532,Scorpion Apollo,Drama,NC-17,3,4.99,137,23.99,"['Commentaries', 'Deleted Scenes']",2005-07-12 04:44:25
6533,Roman Punk,Music,NC-17,7,0.99,81,28.99,['Trailers'],2005-07-12 04:46:30
6534,Horn Working,Animation,PG,4,2.99,95,23.99,['Trailers'],2005-07-12 04:50:26
6535,Jumping Wrath,Children,NC-17,4,0.99,74,18.99,"['Commentaries', 'Behind the Scenes']",2005-07-12 04:50:49
6536,Dangerous Uptown,Foreign,PG,7,4.99,121,26.99,['Commentaries'],2005-07-12 04:51:13
6537,Guys Falcon,Sci-Fi,R,4,4.99,84,20.99,"['Trailers', 'Commentaries', 'Behind the Scenes']",2005-07-12 04:53:41
6538,Lolita World,Family,NC-17,4,2.99,155,25.99,"['Trailers', 'Deleted Scenes']",2005-07-12 04:53:49
6539,Masked Bubble,Music,PG-13,6,0.99,151,12.99,"['Commentaries', 'Behind the Scenes']",2005-07-12 04:54:32
6540,Earth Vision,New,NC-17,7,0.99,85,29.99,"['Trailers', 'Commentaries', 'Deleted Scenes']",2005-07-12 04:56:15
6541,Whisperer Giant,Sci-Fi,PG-13,4,4.99,59,24.99,"['Trailers', 'Deleted Scenes']",2005-07-12 04:56:30
6542,Boogie Amelie,Music,R,6,4.99,121,11.99,"['Commentaries', 'Behind the Scenes']",2005-07-12 04:57:17
6543,Mission Zoolander,Animation,PG-13,3,4.99,164,26.99,['Behind the Scenes'],2005-07-12 04:57:46
6544,Madison Trap,Documentary,R,4,2.99,147,11.99,"['Commentaries', 'Deleted Scenes', 'Behind the Scenes']",2005-07-12 05:00:46
6545,Money Harold,New,PG,3,2.99,135,17.99,"['Trailers', 'Commentaries']",2005-07-12 05:02:01
6546,Island Exorcist,Classics,NC-17,7,2.99,84,23.99,"['Trailers', 'Commentaries']",2005-07-12 05:03:14
6547,Bedazzled Married,Family,PG,6,0.99,73,21.99,"['Trailers', 'Deleted Scenes', 'Behind the Scenes']",2005-07-12 05:03:43
6548,Coma Head,Travel,NC-17,6,4.99,109,10.99,['Commentaries'],2005-07-12 05:05:06
6549,Dream Pickup,Action,PG,6,2.99,135,18.99,"['Trailers', 'Commentaries', 'Behind the Scenes']",2005-07-12 05:06:39
6550,Moulin Wake,Travel,PG-13,4,0.99,79,20.99,['Trailers'],2005-07-12 05:07:26
6551,Enemy Odds,Music,NC-17,5,4.99,77,23.99,['Trailers'],2005-07-12 05:08:16
6552,Straight Hours,Sports,R,3,0.99,151,19.99,"['Commentaries', 'Behind the Scenes']",2005-07-12 05:10:16
6553,Finding Anaconda,Family,R,4,0.99,156,10.99,"['Trailers', 'Commentaries']",2005-07-12 05:12:03
6554,Jade Bunch,Sports,NC-17,6,2.99,174,21.99,"['Trailers', 'Commentaries', 'Behind the Scenes']",2005-07-12 05:16:07
6555,Brotherhood Blanket,Documentary,R,3,0.99,73,26.99,['Behind the Scenes'],2005-07-12 05:20:35
6556,Breaking Home,New,PG-13,4,2.99,169,21.99,"['Trailers', 'Commentaries']",2005-07-12 05:22:06
6557,Zhivago Core,Horror,NC-17,6,0.99,105,10.99,['Deleted Scenes'],2005-07-12 05:24:02
6558,Sunrise League,Animation,PG-13,3,4.99,135,19.99,['Behind the Scenes'],2005-07-12 05:26:26
6559,Alter Victory,Animation,PG-13,6,0.99,57,27.99,"['Trailers', 'Behind the Scenes']",2005-07-12 05:34:09
6560,Kwai Homeward,Drama,PG-13,5,0.99,46,25.99,"['Trailers', 'Commentaries']",2005-07-12 05:34:44
6561,Movie Shakespeare,Family,PG,6,4.99,53,27.99,"['Commentaries', 'Deleted Scenes', 'Behind the Scenes']",2005-07-12 05:39:50
6562,Hanging Deep,Drama,G,5,4.99,62,18.99,"['Trailers', 'Commentaries', 'Deleted Scenes']",2005-07-12 05:42:53
6563,Expendable Stallion,Documentary,PG,3,0.99,97,14.99,"['Trailers', 'Behind the Scenes']",2005-07-12 05:43:09
6564,Trouble Date,Travel,PG,6,2.99,61,13.99,"['Trailers', 'Commentaries', 'Behind the Scenes']",2005-07-12 05:45:47
6565,Color Philadelphia,Classics,G,6,2.99,149,19.99,"['Commentaries', 'Behind the Scenes']",2005-07-12 05:47:40
6566,Igby Maker,Travel,NC-17,7,4.99,160,12.99,"['Trailers', 'Behind the Scenes']",2005-07-12 05:50:31
6567,Slums Duck,Family,PG,5,0.99,147,21.99,"['Commentaries', 'Deleted Scenes', 'Behind the Scenes']",2005-07-12 05:51:47
6568,Pluto Oleander,New,R,5,4.99,84,9.99,['Behind the Scenes'],2005-07-12 05:56:38
6569,Reunion Witches,Drama,R,3,0.99,63,26.99,['Commentaries'],2005-07-12 06:03:40
6570,Chance Resurrection,Sports,R,3,2.99,70,22.99,"['Commentaries', 'Deleted Scenes', 'Behind the Scenes']",2005-07-12 06:04:22
6571,Feud Frogmen,Family,R,6,0.99,98,29.99,"['Trailers', 'Commentaries', 'Deleted Scenes', 'Behind the Scenes']",2005-07-12 06:12:53
6572,Bird Independence,Travel,G,6,4.99,163,14.99,"['Commentaries', 'Behind the Scenes']",2005-07-12 06:13:41
6573,Trojan Tomorrow,Sci-Fi,PG,3,2.99,52,9.99,"['Commentaries', 'Deleted Scenes']",2005-07-12 06:15:05
6574,Kissing Dolls,Action,R,3,4.99,141,9.99,['Trailers'],2005-07-12 06:15:41
6575,Frisco Forrest,Sci-Fi,PG,6,4.99,51,23.99,"['Commentaries', 'Deleted Scenes', 'Behind the Scenes']",2005-07-12 06:26:10
6576,Innocent Usual,Foreign,PG-13,3,4.99,178,26.99,"['Trailers', 'Deleted Scenes', 'Behind the Scenes']",2005-07-12 06:26:49
6577,Idols Snatchers,Children,NC-17,5,2.99,84,29.99,['Trailers'],2005-07-12 06:28:12
6578,Lawless Vision,Animation,G,6,4.99,181,29.99,"['Deleted Scenes', 'Behind the Scenes']",2005-07-12 06:42:31
6579,Half Outfield,Family,PG-13,6,2.99,146,25.99,"['Trailers', 'Commentaries', 'Deleted Scenes', 'Behind the Scenes']",2005-07-12 06:43:36
6580,Idaho Love,New,PG-13,3,2.99,172,25.99,"['Trailers', 'Commentaries', 'Deleted Scenes', 'Behind the Scenes']",2005-07-12 06:50:52
6581,Stepmom Dream,Foreign,NC-17,7,4.99,48,9.99,"['Deleted Scenes', 'Behind the Scenes']",2005-07-12 06:56:24
6582,Banger Pinocchio,Music,R,5,0.99,113,15.99,"['Trailers', 'Commentaries', 'Deleted Scenes']",2005-07-12 06:56:26
6583,Elf Murder,Music,NC-17,4,4.99,155,19.99,"['Trailers', 'Commentaries', 'Behind the Scenes']",2005-07-12 06:57:40
6584,Gangs Pride,Animation,PG-13,4,2.99,185,27.99,['Behind the Scenes'],2005-07-12 07:06:29
6585,Doctor Grail,Children,G,4,2.99,57,29.99,"['Trailers', 'Commentaries', 'Behind the Scenes']",2005-07-12 07:08:21
6586,Nightmare Chill,Games,PG,3,4.99,149,25.99,"['Trailers', 'Deleted Scenes', 'Behind the Scenes']",2005-07-12 07:13:46
6587,Satisfaction Confidential,Sports,G,3,4.99,75,26.99,"['Commentaries', 'Deleted Scenes', 'Behind the Scenes']",2005-07-12 07:19:35
6588,Sabrina Midnight,Children,PG,5,4.99,99,11.99,"['Trailers', 'Behind the Scenes']",2005-07-12 07:21:17
6589,Wife Turn,Documentary,NC-17,3,4.99,183,27.99,"['Deleted Scenes', 'Behind the Scenes']",2005-07-12 07:25:43
6590,Enemy Odds,Music,NC-17,5,4.99,77,23.99,['Trailers'],2005-07-12 07:25:48
6591,Cupboard Sinners,Documentary,R,4,2.99,56,29.99,['Behind the Scenes'],2005-07-12 07:32:59
6592,Deceiver Betrayed,Drama,NC-17,7,0.99,122,22.99,"['Trailers', 'Commentaries', 'Deleted Scenes', 'Behind the Scenes']",2005-07-12 07:37:02
6593,Hyde Doctor,Classics,G,5,2.99,100,11.99,"['Trailers', 'Deleted Scenes']",2005-07-12 07:38:25
6594,Voice Peach,New,PG-13,6,0.99,139,22.99,"['Commentaries', 'Behind the Scenes']",2005-07-12 07:41:14
6595,Ridgemont Submarine,New,PG-13,3,0.99,46,28.99,"['Commentaries', 'Deleted Scenes', 'Behind the Scenes']",2005-07-12 07:41:48
6596,Gilmore Boiled,Classics,R,5,0.99,163,29.99,"['Trailers', 'Behind the Scenes']",2005-07-12 07:44:49
6597,Liberty Magnificent,Sports,G,3,2.99,138,27.99,"['Commentaries', 'Deleted Scenes', 'Behind the Scenes']",2005-07-12 07:50:24
6598,Shanghai Tycoon,Travel,PG,7,2.99,47,20.99,"['Commentaries', 'Deleted Scenes', 'Behind the Scenes']",2005-07-12 07:52:55
6599,Conquerer Nuts,Drama,G,4,4.99,173,14.99,"['Commentaries', 'Deleted Scenes', 'Behind the Scenes']",2005-07-12 07:57:45
6600,Oklahoma Jumanji,New,PG,7,0.99,58,15.99,['Behind the Scenes'],2005-07-12 08:01:07
6601,National Story,Documentary,NC-17,4,2.99,92,19.99,['Trailers'],2005-07-12 08:03:40
6602,Birch Antitrust,Music,PG,4,4.99,162,18.99,"['Trailers', 'Commentaries', 'Deleted Scenes']",2005-07-12 08:08:50
6603,Shakespeare Saddle,Sports,PG-13,6,2.99,60,26.99,"['Commentaries', 'Behind the Scenes']",2005-07-12 08:16:50
6604,River Outlaw,Sports,PG-13,4,0.99,149,29.99,['Commentaries'],2005-07-12 08:19:41
6605,Cheaper Clyde,Sci-Fi,G,6,0.99,87,23.99,"['Trailers', 'Commentaries', 'Behind the Scenes']",2005-07-12 08:20:02
6606,Gaslight Crusade,Horror,PG,4,2.99,106,10.99,"['Trailers', 'Deleted Scenes']",2005-07-12 08:20:23
6607,Bang Kwai,Family,NC-17,5,2.99,87,25.99,"['Commentaries', 'Deleted Scenes', 'Behind the Scenes']",2005-07-12 08:28:33
6608,Rules Human,Horror,R,6,4.99,153,19.99,"['Deleted Scenes', 'Behind the Scenes']",2005-07-12 08:30:07
6609,Park Citizen,Action,PG-13,3,4.99,109,14.99,"['Trailers', 'Deleted Scenes']",2005-07-12 08:33:49
6610,African Egg,Family,G,6,2.99,130,22.99,['Deleted Scenes'],2005-07-12 08:36:22
6611,Hanover Galaxy,Music,NC-17,5,4.99,47,21.99,"['Commentaries', 'Deleted Scenes', 'Behind the Scenes']",2005-07-12 08:37:30
6612,Killer Innocent,Family,R,7,2.99,161,11.99,"['Trailers', 'Commentaries', 'Deleted Scenes']",2005-07-12 08:39:56
6613,Uptown Young,Children,PG,5,2.99,84,16.99,['Commentaries'],2005-07-12 08:41:42
6614,Texas Watch,Horror,NC-17,7,0.99,179,22.99,['Trailers'],2005-07-12 08:50:48
6615,Lebowski Soldiers,Drama,PG-13,6,2.99,69,17.99,"['Commentaries', 'Deleted Scenes']",2005-07-12 08:51:03
6616,Jeopardy Encino,Classics,R,3,0.99,102,12.99,"['Trailers', 'Commentaries']",2005-07-12 08:57:30
6617,Voice Peach,New,PG-13,6,0.99,139,22.99,"['Commentaries', 'Behind the Scenes']",2005-07-12 09:04:11
6618,Waterfront Deliverance,Action,G,4,4.99,61,17.99,['Behind the Scenes'],2005-07-12 09:05:34
6619,Suit Walls,Games,R,3,4.99,111,12.99,['Commentaries'],2005-07-12 09:05:50
6620,Club Graffiti,Animation,PG-13,4,0.99,65,12.99,"['Trailers', 'Deleted Scenes']",2005-07-12 09:06:40
6621,Lola Agent,Horror,PG,4,4.99,85,24.99,"['Trailers', 'Commentaries']",2005-07-12 09:16:24
6622,Chaplin License,New,NC-17,7,2.99,146,26.99,['Behind the Scenes'],2005-07-12 09:16:46
6623,Oleander Clue,Music,PG,5,0.99,161,12.99,"['Commentaries', 'Deleted Scenes']",2005-07-12 09:18:08
6624,None Spiking,Sci-Fi,NC-17,3,0.99,83,18.99,"['Trailers', 'Commentaries']",2005-07-12 09:18:35
6625,Harper Dying,Animation,G,3,0.99,52,15.99,['Trailers'],2005-07-12 09:30:05
6626,Language Cowboy,Children,NC-17,5,0.99,78,26.99,"['Trailers', 'Deleted Scenes']",2005-07-12 09:31:43
6627,Oscar Gold,Animation,PG,7,2.99,115,29.99,['Behind the Scenes'],2005-07-12 09:33:10
6628,Operation Operation,Comedy,G,7,2.99,156,23.99,"['Trailers', 'Commentaries', 'Deleted Scenes', 'Behind the Scenes']",2005-07-12 09:35:42
6629,Outbreak Divine,Games,NC-17,6,0.99,169,12.99,"['Trailers', 'Deleted Scenes', 'Behind the Scenes']",2005-07-12 09:37:18
6630,Camelot Vacation,Sci-Fi,NC-17,3,0.99,61,26.99,"['Trailers', 'Commentaries', 'Deleted Scenes', 'Behind the Scenes']",2005-07-12 09:47:58
6631,Redemption Comforts,New,NC-17,3,2.99,179,20.99,"['Trailers', 'Deleted Scenes', 'Behind the Scenes']",2005-07-12 09:49:46
6632,None Spiking,Sci-Fi,NC-17,3,0.99,83,18.99,"['Trailers', 'Commentaries']",2005-07-12 09:57:39
6633,Autumn Crow,Games,G,3,4.99,108,13.99,"['Trailers', 'Commentaries', 'Deleted Scenes', 'Behind the Scenes']",2005-07-12 09:58:02
6634,Room Roman,Animation,PG,7,0.99,60,27.99,"['Trailers', 'Deleted Scenes', 'Behind the Scenes']",2005-07-12 10:00:44
6635,Name Detective,Games,PG-13,5,4.99,178,11.99,"['Trailers', 'Commentaries', 'Behind the Scenes']",2005-07-12 10:27:19
6636,Invasion Cyclone,Children,PG,5,2.99,97,12.99,"['Trailers', 'Deleted Scenes']",2005-07-12 10:33:14
6637,Attraction Newton,New,PG-13,5,4.99,83,14.99,"['Trailers', 'Behind the Scenes']",2005-07-12 10:37:52
6638,Armageddon Lost,Sci-Fi,G,5,0.99,99,10.99,['Trailers'],2005-07-12 10:39:22
6639,Mockingbird Hollywood,Action,PG,4,0.99,60,27.99,['Behind the Scenes'],2005-07-12 10:39:39
6640,Noon Papi,Children,G,5,2.99,57,12.99,['Behind the Scenes'],2005-07-12 10:39:55
6641,Texas Watch,Horror,NC-17,7,0.99,179,22.99,['Trailers'],2005-07-12 10:41:34
6642,Harold French,Drama,NC-17,6,0.99,168,10.99,"['Commentaries', 'Deleted Scenes', 'Behind the Scenes']",2005-07-12 10:43:53
6643,Clockwork Paradise,Children,PG-13,7,0.99,143,29.99,"['Trailers', 'Commentaries', 'Deleted Scenes', 'Behind the Scenes']",2005-07-12 10:46:30
6644,Ali Forever,Horror,PG,4,4.99,150,21.99,"['Deleted Scenes', 'Behind the Scenes']",2005-07-12 10:51:09
6645,Gangs Pride,Animation,PG-13,4,2.99,185,27.99,['Behind the Scenes'],2005-07-12 10:57:10
6646,Amadeus Holy,Action,PG,6,0.99,113,20.99,"['Commentaries', 'Deleted Scenes', 'Behind the Scenes']",2005-07-12 10:57:28
6647,Jason Trap,Family,NC-17,5,2.99,130,9.99,"['Trailers', 'Deleted Scenes', 'Behind the Scenes']",2005-07-12 10:59:38
6648,Chamber Italian,Music,NC-17,7,4.99,117,14.99,['Trailers'],2005-07-12 11:06:17
6649,Notorious Reunion,Documentary,NC-17,7,0.99,128,9.99,"['Trailers', 'Commentaries', 'Deleted Scenes']",2005-07-12 11:06:28
6650,Submarine Bed,Comedy,R,5,4.99,127,21.99,['Trailers'],2005-07-12 11:08:32
6651,Karate Moon,Horror,PG-13,4,0.99,120,21.99,['Behind the Scenes'],2005-07-12 11:09:47
6652,Slipper Fidelity,Sports,PG-13,5,0.99,156,14.99,"['Trailers', 'Deleted Scenes']",2005-07-12 11:11:36
6653,Arizona Bang,Classics,PG,3,2.99,121,28.99,"['Trailers', 'Deleted Scenes']",2005-07-12 11:13:21
6654,Karate Moon,Horror,PG-13,4,0.99,120,21.99,['Behind the Scenes'],2005-07-12 11:18:05
6655,Bringing Hysterical,Comedy,PG,7,2.99,136,14.99,['Trailers'],2005-07-12 11:20:12
6656,Legally Secretary,Children,PG,7,4.99,113,14.99,"['Trailers', 'Commentaries', 'Behind the Scenes']",2005-07-12 11:20:39
6657,Flamingos Connecticut,New,PG-13,4,4.99,80,28.99,['Trailers'],2005-07-12 11:21:06
6658,Voyage Legally,Classics,PG-13,6,0.99,78,28.99,"['Commentaries', 'Behind the Scenes']",2005-07-12 11:27:35
6659,Zorro Ark,Comedy,NC-17,3,4.99,50,18.99,"['Trailers', 'Commentaries', 'Behind the Scenes']",2005-07-12 11:28:22
6660,Opus Ice,Foreign,R,5,4.99,102,21.99,"['Commentaries', 'Deleted Scenes']",2005-07-12 11:29:14
6661,Pulp Beverly,Horror,G,4,2.99,89,12.99,"['Trailers', 'Behind the Scenes']",2005-07-12 11:32:15
6662,Backlash Undefeated,Children,PG-13,3,4.99,118,24.99,"['Trailers', 'Behind the Scenes']",2005-07-12 11:36:22
6663,Forever Candidate,Children,NC-17,7,2.99,131,28.99,"['Commentaries', 'Deleted Scenes', 'Behind the Scenes']",2005-07-12 11:37:45
6664,Fiction Christmas,Foreign,PG,4,0.99,72,14.99,"['Trailers', 'Commentaries', 'Deleted Scenes', 'Behind the Scenes']",2005-07-12 11:39:55
6665,Pittsburgh Hunchback,Family,PG-13,4,4.99,134,17.99,"['Trailers', 'Deleted Scenes', 'Behind the Scenes']",2005-07-12 11:44:33
6666,Date Speed,Family,R,4,0.99,104,19.99,['Commentaries'],2005-07-12 11:48:48
6667,Blues Instinct,Family,G,5,2.99,50,18.99,"['Trailers', 'Deleted Scenes', 'Behind the Scenes']",2005-07-12 11:49:16
6668,Horror Reign,Travel,R,3,0.99,139,25.99,"['Deleted Scenes', 'Behind the Scenes']",2005-07-12 11:50:56
6669,Lies Treatment,Drama,NC-17,7,4.99,147,28.99,"['Commentaries', 'Deleted Scenes', 'Behind the Scenes']",2005-07-12 11:51:54
6670,Innocent Usual,Foreign,PG-13,3,4.99,178,26.99,"['Trailers', 'Deleted Scenes', 'Behind the Scenes']",2005-07-12 11:53:06
6671,King Evolution,Family,NC-17,3,4.99,184,24.99,"['Trailers', 'Deleted Scenes', 'Behind the Scenes']",2005-07-12 11:53:40
6672,Lies Treatment,Drama,NC-17,7,4.99,147,28.99,"['Commentaries', 'Deleted Scenes', 'Behind the Scenes']",2005-07-12 11:58:14
6673,Santa Paris,Children,PG,7,2.99,154,23.99,"['Commentaries', 'Behind the Scenes']",2005-07-12 11:58:36
6674,Sinners Atlantis,Horror,PG-13,7,2.99,126,19.99,"['Trailers', 'Commentaries', 'Deleted Scenes']",2005-07-12 12:01:07
6675,Odds Boogie,Family,NC-17,6,0.99,48,14.99,"['Trailers', 'Commentaries', 'Behind the Scenes']",2005-07-12 12:01:56
6676,Crazy Home,Comedy,PG,7,2.99,136,24.99,"['Commentaries', 'Deleted Scenes']",2005-07-12 12:04:12
6677,Horn Working,Animation,PG,4,2.99,95,23.99,['Trailers'],2005-07-12 12:12:43
6678,Rush Goodfellas,Family,PG,3,0.99,48,20.99,['Deleted Scenes'],2005-07-12 12:14:05
6679,Neighbors Charade,Sports,R,3,0.99,161,20.99,"['Trailers', 'Commentaries', 'Deleted Scenes']",2005-07-12 12:14:42
6680,Fight Jawbreaker,Animation,R,3,0.99,91,13.99,"['Trailers', 'Commentaries', 'Deleted Scenes', 'Behind the Scenes']",2005-07-12 12:16:28
6681,Splendor Patton,Children,R,5,0.99,134,20.99,"['Trailers', 'Commentaries', 'Deleted Scenes', 'Behind the Scenes']",2005-07-12 12:18:38
6682,Motions Details,Horror,PG,5,0.99,166,16.99,"['Trailers', 'Commentaries', 'Behind the Scenes']",2005-07-12 12:19:23
6683,Liaisons Sweet,Travel,PG,5,4.99,140,15.99,"['Commentaries', 'Behind the Scenes']",2005-07-12 12:22:12
6684,Fury Murder,Children,PG-13,3,0.99,178,28.99,['Deleted Scenes'],2005-07-12 12:22:13
6685,United Pilot,Documentary,R,3,0.99,164,27.99,"['Trailers', 'Deleted Scenes']",2005-07-12 12:23:02
6686,Borrowers Bedazzled,Animation,G,7,0.99,63,22.99,"['Commentaries', 'Deleted Scenes', 'Behind the Scenes']",2005-07-12 12:26:38
6687,Newsies Story,Documentary,G,4,0.99,159,25.99,"['Trailers', 'Deleted Scenes']",2005-07-12 12:35:39
6688,Human Graffiti,Games,NC-17,3,2.99,68,22.99,"['Trailers', 'Behind the Scenes']",2005-07-12 12:37:00
6689,Cat Coneheads,Comedy,G,5,4.99,112,14.99,"['Commentaries', 'Deleted Scenes']",2005-07-12 12:39:23
6690,Pilot Hoosiers,Family,PG,6,2.99,50,17.99,"['Trailers', 'Deleted Scenes']",2005-07-12 12:39:39
6691,Berets Agent,Action,PG-13,5,2.99,77,24.99,['Deleted Scenes'],2005-07-12 12:44:04
6692,Baby Hall,Foreign,NC-17,5,4.99,153,23.99,['Commentaries'],2005-07-12 12:44:57
6693,Wedding Apollo,Documentary,PG,3,0.99,70,14.99,['Trailers'],2005-07-12 12:45:00
6694,Rugrats Shakespeare,Action,PG-13,4,0.99,109,16.99,"['Trailers', 'Commentaries', 'Deleted Scenes', 'Behind the Scenes']",2005-07-12 12:45:21
6695,Personal Ladybugs,Music,PG-13,3,0.99,118,19.99,"['Deleted Scenes', 'Behind the Scenes']",2005-07-12 12:47:22
6696,Runner Madigan,Music,NC-17,6,0.99,101,27.99,"['Commentaries', 'Deleted Scenes', 'Behind the Scenes']",2005-07-12 12:47:59
6697,Ballroom Mockingbird,Foreign,G,6,0.99,173,29.99,"['Commentaries', 'Deleted Scenes']",2005-07-12 12:48:03
6698,Aladdin Calendar,Sports,NC-17,6,4.99,63,24.99,"['Trailers', 'Deleted Scenes']",2005-07-12 12:50:19
6699,Gangs Pride,Animation,PG-13,4,2.99,185,27.99,['Behind the Scenes'],2005-07-12 12:50:24
6700,Usual Untouchables,Foreign,PG-13,5,4.99,128,21.99,"['Trailers', 'Commentaries', 'Behind the Scenes']",2005-07-12 12:53:11
6701,Wrong Behavior,Children,PG-13,6,2.99,178,10.99,"['Trailers', 'Behind the Scenes']",2005-07-12 12:59:16
6702,Boulevard Mob,New,R,3,0.99,63,11.99,['Trailers'],2005-07-12 13:07:55
6703,Blood Argonauts,Family,G,3,0.99,71,13.99,"['Trailers', 'Commentaries', 'Behind the Scenes']",2005-07-12 13:10:55
6704,Temple Attraction,Horror,PG,5,4.99,71,13.99,"['Commentaries', 'Deleted Scenes']",2005-07-12 13:20:41
6705,Confused Candles,Family,PG-13,3,2.99,122,27.99,"['Trailers', 'Commentaries', 'Deleted Scenes', 'Behind the Scenes']",2005-07-12 13:23:09
6706,Jet Neighbors,Foreign,R,7,4.99,59,14.99,"['Trailers', 'Commentaries', 'Behind the Scenes']",2005-07-12 13:23:40
6707,Zorro Ark,Comedy,NC-17,3,4.99,50,18.99,"['Trailers', 'Commentaries', 'Behind the Scenes']",2005-07-12 13:24:47
6708,Tuxedo Mile,Sports,R,3,2.99,152,24.99,"['Commentaries', 'Deleted Scenes', 'Behind the Scenes']",2005-07-12 13:27:36
6709,Holocaust Highball,Children,R,6,0.99,149,12.99,['Deleted Scenes'],2005-07-12 13:29:06
6710,Chasing Fight,Family,PG,7,4.99,114,21.99,"['Trailers', 'Commentaries']",2005-07-12 13:32:28
6711,Music Boondock,Family,R,7,0.99,129,17.99,"['Trailers', 'Commentaries', 'Behind the Scenes']",2005-07-12 13:34:58
6712,Campus Remember,Action,R,5,2.99,167,27.99,['Behind the Scenes'],2005-07-12 13:35:02
6713,Karate Moon,Horror,PG-13,4,0.99,120,21.99,['Behind the Scenes'],2005-07-12 13:38:06
6714,Clueless Bucket,Action,R,4,2.99,95,13.99,"['Trailers', 'Deleted Scenes', 'Behind the Scenes']",2005-07-12 13:40:37
6715,Montezuma Command,Action,NC-17,6,0.99,126,22.99,['Trailers'],2005-07-12 13:41:16
6716,Name Detective,Games,PG-13,5,4.99,178,11.99,"['Trailers', 'Commentaries', 'Behind the Scenes']",2005-07-12 13:42:58
6717,Pocus Pulp,Documentary,NC-17,6,0.99,138,15.99,"['Commentaries', 'Deleted Scenes', 'Behind the Scenes']",2005-07-12 13:44:03
6718,Model Fish,Children,NC-17,4,4.99,175,11.99,"['Trailers', 'Commentaries', 'Behind the Scenes']",2005-07-12 13:44:57
6719,Madness Attacks,Foreign,PG-13,4,0.99,178,14.99,['Trailers'],2005-07-12 13:45:15
6720,Contact Anonymous,Travel,PG-13,7,2.99,166,10.99,['Commentaries'],2005-07-12 13:47:17
6721,Wolves Desire,Travel,NC-17,7,0.99,55,13.99,['Behind the Scenes'],2005-07-12 13:48:14
6722,Spirit Flintstones,Horror,R,7,0.99,149,23.99,"['Commentaries', 'Deleted Scenes']",2005-07-12 13:54:25
6723,Indian Love,Family,NC-17,4,0.99,135,26.99,"['Trailers', 'Commentaries', 'Deleted Scenes', 'Behind the Scenes']",2005-07-12 13:56:48
6724,Magic Mallrats,Children,PG,3,0.99,117,19.99,"['Trailers', 'Commentaries']",2005-07-12 13:58:23
6725,Frost Head,Classics,PG,5,0.99,82,13.99,"['Trailers', 'Deleted Scenes']",2005-07-12 13:58:25
6726,Core Suit,Classics,PG-13,3,2.99,92,24.99,['Deleted Scenes'],2005-07-12 13:58:27
6727,Highball Potter,Foreign,R,6,0.99,110,10.99,['Deleted Scenes'],2005-07-12 13:58:51
6728,Flight Lies,Sports,R,7,4.99,179,22.99,['Trailers'],2005-07-12 14:04:01
6729,Jet Neighbors,Foreign,R,7,4.99,59,14.99,"['Trailers', 'Commentaries', 'Behind the Scenes']",2005-07-12 14:04:24
6730,Beauty Grease,Drama,G,5,4.99,175,28.99,"['Trailers', 'Commentaries']",2005-07-12 14:08:20
6731,Candidate Perdition,Classics,R,4,2.99,70,10.99,"['Deleted Scenes', 'Behind the Scenes']",2005-07-12 14:16:50
6732,Bikini Borrowers,Animation,NC-17,7,4.99,142,26.99,"['Commentaries', 'Deleted Scenes']",2005-07-12 14:16:52
6733,Dynamite Tarzan,Classics,PG-13,4,0.99,141,27.99,['Deleted Scenes'],2005-07-12 14:17:55
6734,Easy Gladiator,Action,G,5,4.99,148,12.99,"['Trailers', 'Commentaries', 'Behind the Scenes']",2005-07-12 14:22:08
6735,Lose Inch,Foreign,R,3,0.99,137,18.99,"['Trailers', 'Commentaries']",2005-07-12 14:22:08
6736,Banger Pinocchio,Music,R,5,0.99,113,15.99,"['Trailers', 'Commentaries', 'Deleted Scenes']",2005-07-12 14:24:16
6737,Undefeated Dalmations,Horror,PG-13,7,4.99,107,22.99,['Commentaries'],2005-07-12 14:25:31
6738,Arabia Dogma,Horror,NC-17,6,0.99,62,29.99,"['Commentaries', 'Deleted Scenes']",2005-07-12 14:29:25
6739,Masked Bubble,Music,PG-13,6,0.99,151,12.99,"['Commentaries', 'Behind the Scenes']",2005-07-12 14:30:28
6740,Expecations Natural,Travel,PG-13,5,4.99,138,26.99,['Deleted Scenes'],2005-07-12 14:30:51
6741,Pocus Pulp,Documentary,NC-17,6,0.99,138,15.99,"['Commentaries', 'Deleted Scenes', 'Behind the Scenes']",2005-07-12 14:33:01
6742,Silence Kane,Music,R,7,0.99,67,23.99,"['Trailers', 'Deleted Scenes', 'Behind the Scenes']",2005-07-12 14:33:21
6743,Silverado Goldfinger,Sci-Fi,PG,4,4.99,74,11.99,"['Trailers', 'Commentaries']",2005-07-12 14:39:27
6744,Oleander Clue,Music,PG,5,0.99,161,12.99,"['Commentaries', 'Deleted Scenes']",2005-07-12 14:43:05
